title,price,age_group,genre,book_id,transaction_id
1984,13.52,20s,Fiction,B986553,T79228643
The Da Vinci Code,35.99,10s,Mystery,B385946,T93544059
Atomic Habits,10.32,30s,Self-Help,B583184,T76351747
The Seven Husbands of Evelyn Hugo,14.57,40s,Fiction,B894169,T86270091
Sapiens,22.81,40s,History,B128186,T90520577
Think and Grow Rich,19.33,30s,Self-Help,B924214,T23991015
The Silent Patient,20.35,30s,Thriller,B262616,T85152586
Atomic Habits,37.57,10s,Self-Help,B783704,T47335999
Think and Grow Rich,27.62,50s,Self-Help,B949065,T68248700
The Great Gatsby,35.46,30s,Classic,B748441,T55205140
The Power of Now,38.33,40s,Spirituality,B897273,T31993033
1984,22.45,40s,Fiction,B255197,T43810934
It Ends with Us,22.66,30s,Romance,B702204,T49228921
The Power of Now,31.63,10s,Spirituality,B590094,T47557920
Rich Dad Poor Dad,16.81,20s,Finance,B437794,T17201683
Project Hail Mary,18.7,30s,Science Fiction,B351242,T10436268
The Alchemist,12.7,10s,Fiction,B113224,T84233993
The Song of Achilles,36.55,10s,Historical Fiction,B827219,T95165009
Rich Dad Poor Dad,20.62,60s,Finance,B404195,T51806626
1984,17.43,20s,Fiction,B929581,T71060476
Project Hail Mary,16.09,40s,Science Fiction,B201124,T12045061
It Ends with Us,28.69,20s,Romance,B344826,T83590620
The Midnight Library,16.78,10s,Fiction,B705351,T97360284
The Midnight Library,31.39,40s,Fiction,B777940,T10750137
The Power of Now,17.26,60s,Spirituality,B443623,T52665488
Sapiens,33.02,10s,History,B530787,T78346835
The Alchemist,36.89,40s,Fiction,B897924,T94797793
The Midnight Library,12.63,60s,Fiction,B451678,T63775927
The Power of Now,13.12,60s,Spirituality,B397881,T50669834
The Midnight Library,38.83,40s,Fiction,B522387,T72060022
The Song of Achilles,35.43,10s,Historical Fiction,B252557,T38666573
1984,26.94,10s,Fiction,B221450,T56015616
To Kill a Mockingbird,18.04,60s,Classic,B275191,T49062096
The Alchemist,17.15,60s,Fiction,B361783,T41911933
The Alchemist,20.88,10s,Fiction,B143950,T18371174
It Ends with Us,20.78,40s,Romance,B879810,T51611920
1984,26.34,30s,Fiction,B540067,T39115911
The Seven Husbands of Evelyn Hugo,36.86,60s,Fiction,B847922,T75284585
1984,23.54,40s,Fiction,B523113,T46674097
1984,33.94,10s,Fiction,B362819,T38912667
Where the Crawdads Sing,28.42,30s,Fiction,B921685,T53886611
The Seven Husbands of Evelyn Hugo,22.95,10s,Fiction,B467962,T32503079
Think Like a Monk,30.85,30s,Self-Help,B480981,T69536842
